,Accuracy(Log Reg),Train-Time(Log Reg),Accuracy(Decision Tree),Train-Time(Decision Tree),Accuracy(Random Forest),Accuracy(Knn),Train-Time(Random Forest),Accuracy(Naive Bayes),Train-Time(Naive Bayes),Accuracy(SVM),Train-Time(SVM),Train-Time(Knn)
0,0.951048951048951,0.05000495910644531,0.9230769230769231,0.005999326705932617,0.965034965034965,0.951048951048951,0.16754984855651855,0.951048951048951,0.0,0.972027972027972,2.015279769897461,0.0
1,0.9370629370629371,0.0472874641418457,0.9300699300699301,0.0,0.9440559440559441,0.9230769230769231,0.17121243476867676,0.9230769230769231,0.0,0.951048951048951,1.5147185325622559,0.0
2,0.958041958041958,0.03126239776611328,0.9370629370629371,0.01563239097595215,0.972027972027972,0.9370629370629371,0.15707898139953613,0.9370629370629371,0.0,0.958041958041958,1.3577163219451904,0.0009987354278564453
3,0.965034965034965,0.0410008430480957,0.9370629370629371,0.005999088287353516,0.972027972027972,0.951048951048951,0.19301128387451172,0.951048951048951,0.0009987354278564453,0.965034965034965,0.8233721256256104,0.0
4,0.9440559440559441,0.04727959632873535,0.958041958041958,0.0,0.965034965034965,0.9440559440559441,0.17512059211730957,0.9440559440559441,0.0,0.9440559440559441,1.1031198501586914,0.0
5,0.965034965034965,0.04998016357421875,0.9230769230769231,0.0,0.965034965034965,0.9440559440559441,0.17271971702575684,0.9440559440559441,0.0,0.965034965034965,2.266529083251953,0.0
6,0.951048951048951,0.0452580451965332,0.9020979020979021,0.0,0.972027972027972,0.958041958041958,0.17733454704284668,0.958041958041958,0.0,0.9790209790209791,0.6469724178314209,0.01563119888305664
7,0.916083916083916,0.053114891052246094,0.9300699300699301,0.003998517990112305,0.958041958041958,0.9300699300699301,0.16762423515319824,0.9300699300699301,0.0,0.9020979020979021,0.8448581695556641,0.0
8,0.9300699300699301,0.0373990535736084,0.9370629370629371,0.0,0.972027972027972,0.9440559440559441,0.1843876838684082,0.9440559440559441,0.0010030269622802734,0.965034965034965,0.5114631652832031,0.0
9,0.9230769230769231,0.046661376953125,0.9370629370629371,0.0,0.9440559440559441,0.9230769230769231,0.2319176197052002,0.9230769230769231,0.0009999275207519531,0.9370629370629371,0.7549223899841309,0.0
10,0.9300699300699301,0.024649381637573242,0.916083916083916,0.015630245208740234,0.965034965034965,0.958041958041958,0.17272305488586426,0.958041958041958,0.000993490219116211,0.958041958041958,0.8581881523132324,0.0
11,0.9090909090909091,0.03165626525878906,0.916083916083916,0.0,0.9230769230769231,0.9230769230769231,0.17232966423034668,0.9230769230769231,0.0,0.9370629370629371,0.6832942962646484,0.0
12,0.9370629370629371,0.03122258186340332,0.9300699300699301,0.015635013580322266,0.972027972027972,0.9300699300699301,0.17271661758422852,0.9300699300699301,0.0010018348693847656,0.958041958041958,0.37592124938964844,0.001001596450805664
13,0.965034965034965,0.03900265693664551,0.9440559440559441,0.0016324520111083984,0.972027972027972,0.951048951048951,0.17272424697875977,0.951048951048951,0.0010018348693847656,0.958041958041958,1.1346702575683594,0.0
