,Time(Lin_Reg),Time(knn_Reg),Time(Rid_Reg),Accuracy(Lin_Reg),Accuracy(knn_Reg),Accuracy(Rid_Reg),MSE(Lin_Reg),MSE(knn_Reg),MSE(Rid_Reg),R-sq(Lin_Reg),R-sq(knn_Reg),R-sq(Rid_Reg)
523,0.028002023696899414,0.021732807159423828,0.0,1.0,1.0,0.9343227025439191,0.0,0.0,0.15942924044903994,1.0,1.0,0.9343227025439191
524,0.03014850616455078,0.01854109764099121,0.0,0.9473684210526315,0.9473684210526315,0.9204950202793832,0.05263157894736842,0.05263157894736842,0.18452524926940814,0.9218106995884774,0.9218106995884774,0.9204950202793832
525,0.03526782989501953,0.027647018432617188,0.0,1.0,1.0,0.9438343341784252,0.0,0.0,0.14175402749089763,1.0,1.0,0.9438343341784252
526,0.03125929832458496,0.01563119888305664,0.0,0.9473684210526315,0.9473684210526315,0.8999904006742092,0.05263157894736842,0.05263157894736842,0.18592060524579793,0.9129438717067583,0.9129438717067583,0.8999904006742092
527,0.016022205352783203,0.03125762939453125,0.011040687561035156,1.0,1.0,0.954453989704531,0.0,0.0,0.13413356715406713,1.0,1.0,0.954453989704531
528,0.024999380111694336,0.013636350631713867,0.0,0.868421052631579,0.868421052631579,0.8900600848448366,0.13157894736842105,0.13157894736842105,0.2231947312025478,0.8069105691056911,0.8069105691056911,0.8900600848448366
529,0.01563096046447754,0.015629291534423828,0.0,0.9736842105263158,0.9736842105263158,0.9338149033224186,0.02631578947368421,0.02631578947368421,0.14552175001406176,0.9581497797356828,0.9581497797356828,0.9338149033224186
530,0.022114276885986328,0.03126120567321777,0.0,0.868421052631579,0.868421052631579,0.9194347097807196,0.13157894736842105,0.13157894736842105,0.17432240110604136,0.8076923076923077,0.8076923076923077,0.9194347097807196
531,0.02800607681274414,0.02500438690185547,0.0019986629486083984,1.0,1.0,0.9459849010814738,0.0,0.0,0.1462654098055319,1.0,1.0,0.9459849010814738
532,0.022671937942504883,0.015630245208740234,0.015628576278686523,0.9473684210526315,0.9473684210526315,0.905057361087633,0.05263157894736842,0.05263157894736842,0.1925618454882472,0.9121387283236995,0.9121387283236995,0.905057361087633
533,0.03280472755432129,0.02900218963623047,0.0030002593994140625,0.8947368421052632,0.8947368421052632,0.8709439214521023,0.10526315789473684,0.10526315789473684,0.22133179911355028,0.8264840182648401,0.8264840182648401,0.8709439214521023
534,0.02348613739013672,0.0201418399810791,0.0,1.0,1.0,0.9335561802049942,0.0,0.0,0.16617252677331731,1.0,1.0,0.9335561802049942
535,0.03861737251281738,0.015629053115844727,0.015627145767211914,0.9736842105263158,0.9736842105263158,0.9340049424212713,0.02631578947368421,0.02631578947368421,0.1584831537336272,0.9600840336134454,0.9600840336134454,0.9340049424212713
536,0.011508941650390625,0.031264305114746094,0.015630483627319336,1.0,1.0,0.9287665552415089,0.0,0.0,0.15447918275755082,1.0,1.0,0.9287665552415089
537,0.015630483627319336,0.025333166122436523,0.003000020980834961,0.9736842105263158,0.9736842105263158,0.9503049626928123,0.02631578947368421,0.02631578947368421,0.13351365135770366,0.962,0.962,0.9503049626928123
538,0.036675214767456055,0.010321855545043945,0.0,0.8947368421052632,0.8947368421052632,0.9169036619219795,0.10526315789473684,0.10526315789473684,0.17964807251980755,0.8436213991769548,0.8436213991769548,0.9169036619219795
539,0.02814197540283203,0.031259775161743164,0.0,0.9473684210526315,0.9473684210526315,0.8950029659591697,0.05263157894736842,0.05263157894736842,0.19459502132373005,0.9129438717067583,0.9129438717067583,0.8950029659591697
540,0.03125882148742676,0.02214670181274414,0.0,0.9210526315789473,0.9210526315789473,0.9220353614613623,0.07894736842105263,0.07894736842105263,0.17250026127524712,0.887905604719764,0.887905604719764,0.9220353614613623
541,0.03414630889892578,0.02535700798034668,0.0,0.9473684210526315,0.9473684210526315,0.9002108490023751,0.05263157894736842,0.05263157894736842,0.20066444258558752,0.9201680672268907,0.9201680672268907,0.9002108490023751
542,0.028144359588623047,0.015631675720214844,0.0,0.9473684210526315,0.9473684210526315,0.8603512876142787,0.05263157894736842,0.05263157894736842,0.20628273344795625,0.8909612625538019,0.8909612625538019,0.8603512876142787
543,0.01562976837158203,0.03165459632873535,0.0,0.9473684210526315,0.9473684210526315,0.9132060190693484,0.05263157894736842,0.05263157894736842,0.18350950342413622,0.9227642276422765,0.9227642276422765,0.9132060190693484
544,0.031263113021850586,0.015629291534423828,0.0,0.9736842105263158,0.9736842105263158,0.9114314411979236,0.02631578947368421,0.02631578947368421,0.1855713034012373,0.9564719358533792,0.9564719358533792,0.9114314411979236
545,0.041005611419677734,0.03359794616699219,0.0030002593994140625,1.0,1.0,0.9464910529667057,0.0,0.0,0.1584878483447482,1.0,1.0,0.9464910529667057
546,0.02486443519592285,0.0312650203704834,0.0,0.9736842105263158,0.9736842105263158,0.9264178721487438,0.02631578947368421,0.02631578947368421,0.17538738004529045,0.9641509433962264,0.9641509433962264,0.9264178721487438
547,0.0329287052154541,0.011906147003173828,0.0,0.9473684210526315,0.9473684210526315,0.901183229718146,0.05263157894736842,0.05263157894736842,0.19100293575187993,0.9121387283236995,0.9121387283236995,0.901183229718146
548,0.03609299659729004,0.035002946853637695,0.00299835205078125,0.9736842105263158,0.9736842105263158,0.9182779104640778,0.02631578947368421,0.02631578947368421,0.17465451892547437,0.9581497797356828,0.9581497797356828,0.9182779104640778
549,0.02306509017944336,0.031258583068847656,0.015628576278686523,0.9473684210526315,0.9473684210526315,0.9254210806216173,0.05263157894736842,0.05263157894736842,0.17730593465276415,0.9201680672268907,0.9201680672268907,0.9254210806216173
550,0.03531384468078613,0.0240020751953125,0.002997159957885742,0.9473684210526315,0.9473684210526315,0.9345473779756497,0.05263157894736842,0.05263157894736842,0.15759837750650912,0.9222108495394064,0.9222108495394064,0.9345473779756497
551,0.024618864059448242,0.0316464900970459,0.0,0.9473684210526315,0.9473684210526315,0.9257622605863397,0.05263157894736842,0.05263157894736842,0.16568854934618754,0.9192348565356004,0.9192348565356004,0.9257622605863397
552,0.03125882148742676,0.02798604965209961,0.0029981136322021484,0.9736842105263158,0.9736842105263158,0.909563286374837,0.02631578947368421,0.02631578947368421,0.18153559270721212,0.9597883597883597,0.9597883597883597,0.909563286374837
