,Accuracy(Log Reg),Train-Time(Log Reg),Accuracy(Decision Tree),Train-Time(Decision Tree),Accuracy(Random Forest),Accuracy(Knn),Train-Time(Random Forest),Accuracy(Naive Bayes),Train-Time(Naive Bayes),Accuracy(SVM),Train-Time(SVM),Train-Time(Knn)
0,0.916083916083916,0.061003684997558594,0.9230769230769231,0.00500035285949707,0.958041958041958,0.9230769230769231,0.14528131484985352,0.916083916083916,0.0,0.9230769230769231,0.6754624843597412,0.0
1,0.965034965034965,0.03954291343688965,0.9090909090909091,0.00751185417175293,0.958041958041958,0.9440559440559441,0.167527437210083,0.951048951048951,0.0,0.972027972027972,0.972999095916748,0.0
2,0.958041958041958,0.04300713539123535,0.8811188811188811,0.0059947967529296875,0.951048951048951,0.9300699300699301,0.19501471519470215,0.916083916083916,0.0010023117065429688,0.951048951048951,1.319188117980957,0.0
3,0.9230769230769231,0.0484004020690918,0.9440559440559441,0.0,0.951048951048951,0.9370629370629371,0.19021940231323242,0.9370629370629371,0.0010013580322265625,0.9440559440559441,0.7295148372650146,0.0
4,0.951048951048951,0.023443222045898438,0.9370629370629371,0.021686792373657227,0.965034965034965,0.916083916083916,0.17732930183410645,0.9790209790209791,0.0014400482177734375,0.958041958041958,1.4647531509399414,0.0
5,0.9440559440559441,0.0468904972076416,0.9300699300699301,0.0,0.965034965034965,0.9300699300699301,0.18472814559936523,0.9370629370629371,0.0009999275207519531,0.965034965034965,0.6548118591308594,0.0
6,0.9370629370629371,0.03125643730163574,0.8881118881118881,0.0,0.951048951048951,0.9300699300699301,0.16566109657287598,0.9090909090909091,0.0,0.9440559440559441,1.3832318782806396,0.0
7,0.9370629370629371,0.03676891326904297,0.916083916083916,0.010508537292480469,0.972027972027972,0.951048951048951,0.1549689769744873,0.972027972027972,0.0,0.9370629370629371,0.3870100975036621,0.0
8,0.9440559440559441,0.04039144515991211,0.9300699300699301,0.01563405990600586,0.972027972027972,0.916083916083916,0.16911792755126953,0.9440559440559441,0.0,0.951048951048951,0.6186988353729248,0.0
9,0.9300699300699301,0.046889543533325195,0.9370629370629371,0.0080108642578125,0.972027972027972,0.9230769230769231,0.18114161491394043,0.9440559440559441,0.0010001659393310547,0.9440559440559441,0.4706399440765381,0.0
10,0.951048951048951,0.03164529800415039,0.958041958041958,0.0,0.965034965034965,0.9300699300699301,0.18835210800170898,0.9300699300699301,0.0,0.958041958041958,1.0220317840576172,0.0
11,0.951048951048951,0.031256914138793945,0.9020979020979021,0.0,0.951048951048951,0.9300699300699301,0.2055835723876953,0.958041958041958,0.00099945068359375,0.951048951048951,1.2463271617889404,0.0
12,0.958041958041958,0.047281742095947266,0.9020979020979021,0.0,0.972027972027972,0.9230769230769231,0.19398856163024902,0.965034965034965,0.0010001659393310547,0.958041958041958,0.5678446292877197,0.0
13,0.9230769230769231,0.03126168251037598,0.951048951048951,0.015631437301635742,0.965034965034965,0.9300699300699301,0.15708684921264648,0.9230769230769231,0.0,0.9370629370629371,1.0626049041748047,0.0
14,0.9370629370629371,0.04200482368469238,0.965034965034965,0.006002664566040039,0.958041958041958,0.9440559440559441,0.24001836776733398,0.958041958041958,0.0009999275207519531,0.951048951048951,0.7071928977966309,0.0
15,0.965034965034965,0.03900146484375,0.9440559440559441,0.004999876022338867,0.986013986013986,0.9440559440559441,0.1981830596923828,0.9300699300699301,0.0010030269622802734,0.972027972027972,1.9325354099273682,0.0
16,0.9300699300699301,0.04727983474731445,0.916083916083916,0.0,0.9370629370629371,0.9230769230769231,0.17326974868774414,0.9440559440559441,0.0,0.9440559440559441,1.5058643817901611,0.0
17,0.951048951048951,0.04435229301452637,0.916083916083916,0.0015926361083984375,0.9370629370629371,0.8811188811188811,0.15708398818969727,0.9370629370629371,0.0,0.965034965034965,0.7207057476043701,0.0
18,0.9370629370629371,0.041268110275268555,0.9300699300699301,0.0,0.965034965034965,0.8951048951048951,0.17795562744140625,0.9300699300699301,0.0009961128234863281,0.9440559440559441,1.2107040882110596,0.0
19,0.958041958041958,0.03125882148742676,0.958041958041958,0.0,0.951048951048951,0.9090909090909091,0.15708541870117188,0.9370629370629371,0.0,0.958041958041958,0.5027885437011719,0.0
20,0.916083916083916,0.042382240295410156,0.916083916083916,0.007999897003173828,0.972027972027972,0.9230769230769231,0.16415166854858398,0.9230769230769231,0.0,0.9370629370629371,0.5963945388793945,0.0
21,0.951048951048951,0.04728412628173828,0.9300699300699301,0.0,0.9790209790209791,0.916083916083916,0.17230749130249023,0.951048951048951,0.0,0.958041958041958,1.0518057346343994,0.0
22,0.9230769230769231,0.033921241760253906,0.9020979020979021,0.01759934425354004,0.951048951048951,0.916083916083916,0.20501065254211426,0.9440559440559441,0.0010001659393310547,0.9370629370629371,0.35631489753723145,0.0
23,0.965034965034965,0.023143529891967773,0.9370629370629371,0.015631675720214844,0.9790209790209791,0.965034965034965,0.17270708084106445,0.9440559440559441,0.0,0.9790209790209791,2.118405818939209,0.0
24,0.9440559440559441,0.031258583068847656,0.958041958041958,0.015630245208740234,0.958041958041958,0.9370629370629371,0.19655418395996094,0.9230769230769231,0.0010001659393310547,0.9370629370629371,0.42980051040649414,0.0
25,0.9370629370629371,0.046884775161743164,0.9370629370629371,0.010509967803955078,0.9790209790209791,0.9370629370629371,0.16170668601989746,0.9370629370629371,0.0,0.951048951048951,1.4113047122955322,0.0
26,0.965034965034965,0.05902743339538574,0.951048951048951,0.006999969482421875,0.9790209790209791,0.916083916083916,0.1686539649963379,0.965034965034965,0.0,0.986013986013986,0.7834067344665527,0.0
27,0.951048951048951,0.05430960655212402,0.951048951048951,0.004998683929443359,0.972027972027972,0.9440559440559441,0.15733623504638672,0.965034965034965,0.0,0.9790209790209791,1.334662675857544,0.0
28,0.958041958041958,0.05149221420288086,0.9230769230769231,0.006000518798828125,0.9440559440559441,0.9370629370629371,0.19196534156799316,0.951048951048951,0.01562809944152832,0.965034965034965,1.3637700080871582,0.0
29,0.9370629370629371,0.021945953369140625,0.916083916083916,0.015625953674316406,0.9440559440559441,0.9300699300699301,0.15708494186401367,0.916083916083916,0.0,0.9230769230769231,1.8343815803527832,0.0
30,0.9300699300699301,0.022144794464111328,0.9440559440559441,0.0,0.965034965034965,0.9440559440559441,0.17221736907958984,0.951048951048951,0.0,0.965034965034965,0.8315584659576416,0.0
31,0.9370629370629371,0.03125762939453125,0.9230769230769231,0.0,0.972027972027972,0.9440559440559441,0.18829345703125,0.9370629370629371,0.0020055770874023438,0.9440559440559441,1.5513958930969238,0.0
32,0.9440559440559441,0.03164863586425781,0.9230769230769231,0.015633583068847656,0.9370629370629371,0.9440559440559441,0.15668821334838867,0.9300699300699301,0.0,0.9440559440559441,1.9127850532531738,0.0
33,0.951048951048951,0.04689598083496094,0.9230769230769231,0.0,0.965034965034965,0.958041958041958,0.18834567070007324,0.9300699300699301,0.001003265380859375,0.965034965034965,0.7734358310699463,0.0
34,0.9300699300699301,0.03676915168762207,0.9440559440559441,0.015262365341186523,0.965034965034965,0.9370629370629371,0.17266392707824707,0.9370629370629371,0.0,0.9440559440559441,0.6518387794494629,0.0
35,0.951048951048951,0.047284603118896484,0.9370629370629371,0.0,0.972027972027972,0.9300699300699301,0.18834662437438965,0.9440559440559441,0.0,0.951048951048951,0.610823392868042,0.0
36,0.951048951048951,0.031030654907226562,0.9440559440559441,0.0,0.951048951048951,0.916083916083916,0.15789484977722168,0.9300699300699301,0.0,0.9440559440559441,0.5489170551300049,0.0
37,0.9790209790209791,0.030644893646240234,0.9370629370629371,0.01563239097595215,0.958041958041958,0.9370629370629371,0.17272138595581055,0.958041958041958,0.0009949207305908203,0.986013986013986,2.597249984741211,0.0
38,0.9790209790209791,0.046889305114746094,0.9370629370629371,0.007012367248535156,0.951048951048951,0.9300699300699301,0.21233320236206055,0.965034965034965,0.0009992122650146484,0.9790209790209791,1.7609624862670898,0.0
39,0.9440559440559441,0.03165459632873535,0.9020979020979021,0.0,0.9370629370629371,0.916083916083916,0.17333579063415527,0.9440559440559441,0.0,0.951048951048951,2.053987503051758,0.0
40,0.951048951048951,0.04728126525878906,0.9440559440559441,0.0,0.951048951048951,0.9370629370629371,0.17219758033752441,0.9230769230769231,0.0,0.9440559440559441,1.1126317977905273,0.0
41,0.951048951048951,0.03125905990600586,0.9020979020979021,0.015630245208740234,0.958041958041958,0.9440559440559441,0.1727137565612793,0.951048951048951,0.0,0.965034965034965,1.1620182991027832,0.0
42,0.951048951048951,0.05526232719421387,0.951048951048951,0.004999876022338867,0.965034965034965,0.9230769230769231,0.15437650680541992,0.916083916083916,0.0,0.9440559440559441,1.2560594081878662,0.0
43,0.9440559440559441,0.03125953674316406,0.9370629370629371,0.015630006790161133,0.965034965034965,0.9230769230769231,0.17167448997497559,0.951048951048951,0.0,0.965034965034965,0.8153791427612305,0.0
44,0.9090909090909091,0.031138896942138672,0.9230769230769231,0.01563572883605957,0.951048951048951,0.9440559440559441,0.15737485885620117,0.9230769230769231,0.0,0.951048951048951,1.741654396057129,0.0
45,0.958041958041958,0.04687190055847168,0.9300699300699301,0.01562976837158203,0.958041958041958,0.958041958041958,0.17272353172302246,0.9300699300699301,0.0,0.958041958041958,1.379408359527588,0.0
46,0.9370629370629371,0.03125953674316406,0.9090909090909091,0.015630245208740234,0.958041958041958,0.9230769230769231,0.15659403800964355,0.951048951048951,0.0,0.9300699300699301,1.0202159881591797,0.0
47,0.951048951048951,0.03165388107299805,0.9370629370629371,0.01563262939453125,0.958041958041958,0.9370629370629371,0.16290950775146484,0.9370629370629371,0.0,0.951048951048951,0.5456764698028564,0.0
48,0.958041958041958,0.047278404235839844,0.951048951048951,0.0,0.972027972027972,0.9440559440559441,0.1723332405090332,0.958041958041958,0.0,0.951048951048951,0.8947358131408691,0.0
